Name,location,location_score,check_in_day,check_in_week,check_out_day,check_out_week,score,price
레닥 게이트웨이 호텔 인 토랜스 (Redac Gateway Hotel in Torrance),"토런스, 로스앤젤레스 (CA) - 도심까지 22.0km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.1,"189,547"
힐튼 로스앤젤레스 에어포트 (Hilton Los Angeles Airport),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) - 도심까지 13.1km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.8,"450,719"
Orange Drive Hostel - Adults Only,"헐리우드, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.7,"49,089"
Luskin Hotel,"웨스트우드, 로스앤젤레스 (CA) - 도심까지 5.2km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,9.4,"384,782"
E 센트럴 호텔 다운타운 로스앤젤레스 (E Central Hotel Downtown Los Angeles),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.6,"328,815"
"SLS Hotel, a Luxury Collection Hotel, Beverly Hills","비벌리 힐스, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.2,"451,425"
쉐라톤 게이트웨이 로스앤젤레스 호텔 (Sheraton Gateway Los Angeles Hotel),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) - 도심까지 13.2km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.0,"409,394"
Redondo Beach Inn - Adults Only,"토런스, 로스앤젤레스 (CA) - 도심까지 17.0km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.4,"409,394"
라마다 바이 윈덤 로스앤젤레스/윌셔 센터 (Ramada by Wyndham Los Angeles/Wilshire Center),"코리아타운, 로스앤젤레스 (CA) - 도심까지 33m",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.2,"230,304"
힐튼 아나헤임 (Hilton Anaheim Hotel),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.3km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.0,"233,575"
더 웨스틴 로스앤젤레스 공항 (The Westin Los Angeles Airport),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) - 도심까지 13.1km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.0,"500,513"
Anaheim Majestic Garden Hotel,"애너하임, 로스앤젤레스 (CA) - 도심까지 38.7km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.4,"190,675"
"tommie Hollywood, part of Jdv by Hyatt","헐리우드, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.2,"295,175"
더 할리우드 루즈벨트 (The Hollywood Roosevelt),"헐리우드, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.6,"358,894"
더 웨스틴 보나벤처 호텔 앤 스위트 (The Westin Bonaventure Hotel and Suites),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.4,"363,835"
더블트리 바이 힐튼 로스엔젤레스 다운타운 호텔 (Doubletree by Hilton Los Angeles Downtown Hotel),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.6,"339,239"
가와다 (Kawada Hotel),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심까지 0.4km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.5,"216,394"
소네스타 실렉트 로스앤젤레스 LAX 엘 세군도 (Sonesta Select Los Angeles LAX El Segundo),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) - 도심까지 15.8km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.9,"267,826"
뉴 서울 호텔 (New Seoul Hotel),"코리아타운, 로스앤젤레스 (CA) - 도심까지 41m",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.5,"236,525"
베스트웨스턴 플러스 선셋 플라자 호텔 (Best Western Plus Sunset Plaza Hotel),"웨스트 할리우드, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.2,"447,895"
애너하임 호텔 (Anaheim Hotel),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.1km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.4,"224,368"
홀리데이 인 로스앤젤레스 - LAX 에어포트 (Holiday Inn Los Angeles - LAX Airport),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) - 도심까지 13.0km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.6,"346,253"
Hotel Koxie,"코리아타운, 로스앤젤레스 (CA) - 도심까지 0.3km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.3,"170,489"
미야코 하이브리드 호텔 (Miyako Hybrid Hotel),"토런스, 로스앤젤레스 (CA) - 도심까지 22.7km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.7,"298,985"
라마다 플라자 바이 윈덤 웨스트 할리우드 호텔 앤 스위트 (Ramada Plaza by Wyndham West Hollywood Hotel & Suites),"웨스트 할리우드, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.2,"341,187"
소네스타 실렉트 로스앤젤레스 LAX 엘 세군도 (Sonesta Select Los Angeles LAX El Segundo),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) - 도심까지 15.8km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.9,"267,826"
호텔 노르망디 로스앤젤레스 (Hotel Normandie Los Angeles),"코리아타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.1,"254,783"
"SLS Hotel, a Luxury Collection Hotel, Beverly Hills","비벌리 힐스, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.2,"451,425"
하워드 존슨 바이 윈덤 애너하임 호텔 앤 워터 플레이그라운드 (Howard Johnson by Wyndham Anaheim Hotel & Water Playground),"애너하임, 로스앤젤레스 (CA) - 도심까지 39.7km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.8,"451,425"
에이스 호텔 다운타운 로스앤젤레스 (Ace Hotel Downtown Los Angeles),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.1,"466,066"
힐튼 산타 모니카 호텔 앤 스위트 (Hilton Santa Monica Hotel & Suites),"산타 모니카, 로스앤젤레스 (CA) - 도심까지 11.1km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.1,"516,907"
쉘터 호텔 (Shelter Hotel),"코리아타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.2,"218,010"
로스앤젤레스 에어포트 메리어트 (Los Angeles Airport Marriott),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) - 도심까지 13.2km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.1,"512,064"
힐튼 아나헤임 (Hilton Anaheim Hotel),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.3km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.0,"233,575"
수 카사 앳 베니스 비치 (Su Casa at Venice Beach),"베니스 비치, 로스앤젤레스 (CA) - 도심까지 11.6km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.8,"299,999"
애너하임 호텔 (Anaheim Hotel),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.1km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.4,"224,368"
할리우드 셀레브리티 호텔 (Hollywood Celebrity Hotel),"헐리우드, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.8,"298,611"
더 가드프리 호텔 할리우드 (The Godfrey Hotel Hollywood),"헐리우드, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.2,"310,883"
윌셔 크레스트 호텔 (Wilshire Crest Hotel),"웨스트 할리우드, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.2,"310,883"
포 포인츠 바이 쉐라톤 로스앤젤레스 웨스트사이드 (Four Points by Sheraton Los Angeles Westside),"컬버 시티, 로스앤젤레스 (CA) - 도심까지 9.2km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.1,"282,187"
Sheraton Park Hotel at the Anaheim Resort,"애너하임, 로스앤젤레스 (CA) - 도심까지 40.4km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.3,"229,851"
패서디나 호텔 앤 풀 (Pasadena Hotel & Pool),"파사데나, 로스앤젤레스 (CA) - 도심까지 14.2km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.6,"216,671"
데이즈 인 바이 윈덤 로스앤젤레스 LAX/ 레돈도&맨해튼비치 (Days Inn by Wyndham Los Angeles LAX/ Redondo&ManhattanBeach),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) - 도심까지 18.2km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.0,"192,783"
Rumi hostel - Adults Only,"코리아타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.2,"38,774"
"호텔 룰루 BW 프리미어 컬렉션 (Hotel Lulu, BW Premier Collection)","애너하임, 로스앤젤레스 (CA) - 도심까지 40.4km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.5,"227,990"
힐튼 로스앤젤레스/유니버설 시티 (Hilton Los Angeles/Universal City),"유니버셜 시티, 로스앤젤레스 (CA) - 도심까지 2.9km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.3,"366,237"
O Hotel by LuxUrban,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.0,"399,999"
Samesun Venice Beach,"베니스 비치, 로스앤젤레스 (CA) - 도심까지 11.7km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.2,"60,065"
더 퍼시픽 인 (The Pacific Inn),"롱비치, 로스앤젤레스 (CA) - 도심까지 35.4km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,9.1,"60,065"
Travelodge by Wyndham LAX,"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) - 도심까지 15.3km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.4,"279,170"
굿 나이트 인 부에나 파크 (Good Nite Inn Buena Park ),"부에나 파크, 로스앤젤레스 (CA) - 도심까지 29.7km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.0,"144,203"
Wingate by Wyndham Los Angeles International Airport,"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) - 도심까지 13.3km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,6.4,"302,646"
HI 로스앤젤레스 - 산타 모니카 호스텔 (HI Los Angeles - Santa Monica Hostel),"산타 모니카, 로스앤젤레스 (CA) - 도심까지 11.4km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.8,"98,819"
할리우드 시티 인 (Hollywood City Inn),"헐리우드, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.8,"187,259"
8th and Ardmore,"코리아타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.2,"34,708"
코트야드 로스앤젤레스 파사데나/몬로비아 (Courtyard Los Angeles Pasadena/Monrovia),"파사데나, 로스앤젤레스 (CA) - 도심까지 23.0km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.1,"230,416"
엘란 호텔 (Elan Hotel),"웨스트 할리우드, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.7,"348,049"
애너하임 메리어트 (Anaheim Marriott),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.3km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.7,"305,441"
알암브라 호텔 (Alhambra Hotel),"이스트 로스앤젤레스, 로스앤젤레스 (CA) - 도심까지 9.3km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.4,"305,441"
쇼트 스토리 호텔 (Short Stories Hotel),"웨스트 할리우드, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.6,"379,202"
미카도 호텔 (Mikado Hotel),"버뱅크, 로스앤젤레스 (CA) - 도심까지 7.3km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.8,"168,819"
게이트웨이 호텔 산타 모니카 (Gateway Hotel Santa Monica),"산타 모니카, 로스앤젤레스 (CA) - 도심까지 9.4km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.3,"311,506"
베스트웨스턴 플러스 LA 미드-타운 호텔 (Best Western Plus LA Mid-Town Hotel),"코리아타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.9,"255,390"
라마다 바이 윈덤 로스앤젤레스/다운타운 웨스트 (Ramada by Wyndham Los Angeles/Downtown West),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,6.9,"223,389"
Conrad Los Angeles,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,9.0,"518,160"
슈퍼 8 바이 윈덤 애너하임 - 디즈니랜드 드라이브 (Super 8 By Wyndham Anaheim - Disneyland Drive),"애너하임, 로스앤젤레스 (CA) - 도심까지 38.6km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.6,"161,588"
Aloft El Segundo - Los Angeles Airport,"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) - 도심까지 15.9km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.5,"354,209"
힐튼 체커스 로스앤젤레스 호텔 (Hilton Checkers Los Angeles Hotel),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.9,"455,999"
할리우드 호텔 - 더 호텔 오브 할리우드 니어 유니버설 스튜디오 (Hollywood Hotel - The Hotel of Hollywood Near Universal Studios),"헐리우드, 로스앤젤레스 (CA) - 도심까지 0.2km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.3,"224,769"
Omni Los Angeles at California Plaza,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.6,"535,934"
더 딕시 할리우드 호텔 (The Dixie Hollywood Hotel),"헐리우드, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.6,"248,499"
Four Points by Sheraton Anaheim,"애너하임, 로스앤젤레스 (CA) - 도심까지 39.1km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.7,"195,072"
비포시텔 애너하임 (Bposhtels Anaheim),"애너하임, 로스앤젤레스 (CA) - 도심까지 41.2km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.9,"41,654"
르네상스 로스앤젤레스 에어포트 호텔 (Renaissance Los Angeles Airport Hotel),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) - 도심까지 12.9km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.1,"460,729"
