호텔 이름,위치,check_in_day,check_in_week,check_out_day,check_out_week,가격,평점
윈덤 애너하임 (Wyndham Anaheim),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.4km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"293,378",8.9
파크 플라자 로지 호텔 (Park Plaza Lodge Hotel),"웨스트 할리우드, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"378,593",8.7
로얄 팰리스 웨스트우드 호텔 (Royal Palace Westwood Hotel),"웨스트우드, 로스앤젤레스 (CA) - 도심까지 5.0km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"299,999",8.3
Motel Sakura - Adults Only,"글렌데일, 로스앤젤레스 (CA) - 도심까지 7.2km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"187,915",9.4
나이트 인 앳 유니버설 시티 (Nite Inn at Universal City),"유니버셜 시티, 로스앤젤레스 (CA) - 도심까지 3.2km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"299,999",8.1
알라모 인 앤드 스위트 - 컨벤션 센터 (Alamo Inn and Suites - Convention Center),"애너하임, 로스앤젤레스 (CA) - 도심까지 39.6km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"193,853",8.6
Petit Ermitage Hotel - Adults Only,"웨스트 할리우드, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"310,750",8.6
JW 메리어트 로스앤젤레스 L.A. 라이브 (JW Marriott Los Angeles L.A. LIVE),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"310,750",8.8
모자이크 호텔 (Mosaic Hotel),"비벌리 힐스, 로스앤젤레스 (CA) - 도심까지 1.8km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"340,952",8.8
카사 델 마르 (Casa Del Mar),"산타 모니카, 로스앤젤레스 (CA) - 도심까지 11.5km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"816,257",9.3
Disney's Grand Californian Hotel & Spa,"애너하임, 로스앤젤레스 (CA) - 도심까지 39.4km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"1,100,254",8.7
트래블로지 인 앤 스위트 바이 윈덤 애너하임 온 디즈니랜드 드라이브 (Travelodge Inn & Suites by Wyndham Anaheim on Disneyland Dr),"애너하임, 로스앤젤레스 (CA) - 도심까지 38.6km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"184,805",8.2
쇼어 호텔 (Shore Hotel),"산타 모니카, 로스앤젤레스 (CA) - 도심까지 11.5km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"607,971",8.7
Four Seasons Hotel Los Angeles At Beverly Hills,"비벌리 힐스, 로스앤젤레스 (CA) - 도심까지 22m",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"1,276,951",9.3
더 갈랜드 (The Garland),"유니버셜 시티, 로스앤젤레스 (CA) - 도심까지 4.2km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"368,583",9
Homewood Suites by Hilton Anaheim Resort - Convention Center,"애너하임, 로스앤젤레스 (CA) - 도심까지 40.7km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"260,534",8.8
코트야드 로스앤젤레스 LA. 라이브 (Courtyard Los Angeles L.A. LIVE),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"768,737",8.5
Disney's Paradise Pier Hotel,"애너하임, 로스앤젤레스 (CA) - 도심까지 39.5km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"681,488",8.8
